pinchStrength,grabStrength,thumb_index,index_middle,middle_ring,ring_pinky,thumb_center_distance,index_center_distance,middle_center_distance,ring_center_distance,pinky_center_distance,palm_direction,thumb_direction_x,thumb_direction_y,thumb_direction_z,index_direction_x,index_direction_y,index_direction_z,middle_direction_x,middle_direction_y,middle_direction_z,ring_direction_x,ring_direction_y,ring_direction_z,pinky_direction_x,pinky_direction_y,pinky_direction_z,label
1.0,0.0,26.18886470625658,38.74645756295104,13.513776065846395,2.329589106901678,0.5497529679561288,0.9446902077960327,0.5706440526309364,0.48164569770358123,0.4472949593648571,1,0.457633,-0.442716,-0.771086,0.101522,-0.195848,-0.975365,0.0858934,-0.780184,0.619626,-0.0917485,-0.744795,0.660956,-0.315262,-0.719817,0.618444,d
1.0,0.0,27.089373506361667,19.367534089641335,35.922986179960105,4.494289525757029,0.5459942386303339,0.940984231862185,0.8211818155564052,0.47999614130517654,0.4452749850373373,1,0.492635,-0.4187,-0.76289,0.140555,-0.197601,-0.970154,-0.0749716,-0.842512,-0.533434,-0.151991,-0.791285,0.592256,-0.34535,-0.770749,0.535425,d
1.0,0.0,23.504908970593185,50.2164420703351,3.448924796048757,1.6363784015143379,0.5321837004142391,0.9406225592723078,0.5180073593947362,0.4912348210932207,0.4908073502702764,1,0.445804,-0.399855,-0.800859,0.0494841,-0.130599,-0.9902,0.0294478,-0.747593,0.663504,-0.116531,-0.75261,0.648073,-0.359002,-0.743684,0.56396,d
1.0,0.0,27.148628413881127,49.960185990404995,3.3459975935588635,0.9736641711434474,0.5376980857972883,0.9432475357828681,0.52635115883018,0.4851156462028801,0.47570435444174686,1,0.418237,-0.425974,-0.802261,0.030268,-0.147171,-0.988648,0.0574828,-0.824986,0.562222,-0.0878879,-0.793271,0.602492,-0.314334,-0.781587,0.53881,d
1.0,0.0,29.625513199709346,50.10176692426206,3.704243758486478,8.277045092574705,0.551148138249398,0.9560634336563849,0.5916585188700437,0.5003023306266394,0.4746907835883099,1,0.436456,-0.405346,-0.803244,0.0536385,-0.136819,-0.989143,0.129305,-0.865052,0.484733,-0.032122,-0.814819,0.578825,-0.20386,-0.900491,0.384131,d
1.0,0.0,28.263863472328904,51.07287003239053,2.6666998067594956,1.9560418124845227,0.5559038692036942,0.9569733203580224,0.5679847922777841,0.5025456258810275,0.47263637254412383,1,0.438923,-0.420999,-0.793792,0.0601303,-0.132393,-0.989372,0.0573666,-0.805984,0.589151,-0.0850527,-0.807159,0.584175,-0.312368,-0.795459,0.519299,d
1.0,0.0,29.27293994868008,48.46923594720451,4.060957383186222,2.688308831970664,0.555418568201646,0.9564643311515707,0.564817747868651,0.5008696080504299,0.469678721252865,1,0.448303,-0.454803,-0.769531,0.0492539,-0.15647,-0.986454,0.0716063,-0.833659,0.547617,-0.0853778,-0.788302,0.609337,-0.30227,-0.792407,0.529835,d
1.0,0.0,24.97530584999944,47.74478193937218,3.0061066940735666,1.012912098035062,0.5526377585319665,0.9557569777590326,0.5599516574116982,0.49980232074599246,0.4680440349313867,1,0.462538,-0.429982,-0.775354,0.0526809,-0.159053,-0.985864,0.00682022,-0.834337,0.551213,-0.131166,-0.810219,0.571262,-0.363334,-0.78652,0.499374,d
1.0,0.0,28.56001145096771,51.12019710213928,3.462101077488616,2.3510340819246256,0.5525114032614962,0.9552747932426587,0.5576676119643671,0.49893760638401746,0.4666424851641236,1,0.432742,-0.443807,-0.78471,0.0513336,-0.158519,-0.986021,0.0594544,-0.812678,0.579672,-0.0840686,-0.801986,0.591397,-0.307479,-0.805273,0.506943,d
1.0,0.0,27.13652094376885,43.5394313861323,4.668160416537894,5.418854206818469,0.555121682836714,0.9557325522267693,0.5824552271038729,0.5064665113719536,0.4788400394897301,1,0.472972,-0.47511,-0.742003,0.105773,-0.211826,-0.971567,0.0457735,-0.904056,0.424956,-0.100023,-0.845808,0.524026,-0.286413,-0.872659,0.395518,d
