palm_direction,thumb_direction_x,thumb_direction_y,thumb_direction_z,index_direction_x,index_direction_y,index_direction_z,middle_direction_x,middle_direction_y,middle_direction_z,ring_direction_x,ring_direction_y,ring_direction_z,pinky_direction_x,pinky_direction_y,pinky_direction_z,thumb_indexpipdistance,thumb_middlepipdistance,thumb_ringpipdistance,thumb_pinkypipdistance,label
1,0.0358285,0.0139919,-0.99926,0.0427657,-0.998809,0.0235101,-0.121815,-0.99045,-0.0645708,-0.175413,-0.964694,-0.196457,-0.268346,-0.889746,-0.369247,78.36269786505567,90.3657317922253,96.00959036539005,101.3429282278739,e
1,0.125631,-0.0944065,-0.987575,0.0370147,-0.997998,-0.0512811,-0.129668,-0.986642,-0.0986072,-0.18,-0.950734,-0.252397,-0.272912,-0.866947,-0.41704,74.57229127128923,86.49083921805592,92.2997346055231,97.36833110786071,e
1,-0.025306,0.0501434,-0.998421,0.0968624,-0.995296,0.00175525,-0.0686627,-0.995128,-0.0707565,-0.126193,-0.975304,-0.181264,-0.222805,-0.902908,-0.367581,81.29026699507143,93.14118795206822,98.5747717630632,103.6803376270062,e
1,0.143091,-0.110049,-0.983572,0.0373127,-0.997929,-0.0524073,-0.129754,-0.985247,-0.111586,-0.184461,-0.948217,-0.25857,-0.287064,-0.866058,-0.409314,74.58002847069717,87.04565237965018,92.72389294944426,97.40088610551753,e
1,-0.0566163,0.13061,-0.989816,0.0914338,-0.995807,0.00281626,-0.0774983,-0.9946,-0.0690298,-0.137272,-0.967555,-0.212119,-0.243604,-0.886619,-0.393146,79.23131099218288,90.97329142847367,96.35781949910708,101.09018809483935,e
1,-0.0209998,0.0234903,-0.999503,0.0411168,-0.995149,-0.0893775,-0.126501,-0.982178,-0.13901,-0.183167,-0.943866,-0.274895,-0.28526,-0.859868,-0.423384,77.30712832734119,89.66777432165917,94.96418254057684,99.62418951444474,e
1,-0.0321521,0.0817575,-0.996134,0.0754946,-0.996917,0.0213723,-0.0926908,-0.994478,-0.049207,-0.151939,-0.968346,-0.19804,-0.251741,-0.885407,-0.390744,79.6343983869408,91.52143065124146,96.71541360548484,101.44300613452857,e
1,-0.440381,0.0512569,-0.896347,0.253708,0.168906,0.952419,0.0920603,0.138249,0.98611,-0.0529749,0.111026,0.992405,-0.145243,-0.407355,0.901647,74.07220657068953,79.79857979050504,83.70068690271304,95.36486935664516,a
1,-0.383746,0.0449896,-0.922342,0.23441,0.217553,0.947482,0.0700219,0.184248,0.980382,-0.088786,0.154582,0.983983,-0.166071,-0.416599,0.893793,73.98393131396101,79.77608344286463,83.67164455715269,95.20751313168515,a
1,-0.384021,0.0381811,-0.922535,0.12244,0.292482,0.9484,-0.0189853,0.259768,0.965484,-0.187,0.238088,0.953071,-0.235721,-0.392198,0.889166,74.3264436294486,80.19457429140017,83.89188667440314,95.31723470731828,a
1,-0.357951,0.0587744,-0.931889,0.139909,0.300687,0.943405,-0.00280116,0.277125,0.96083,-0.172345,0.251374,0.952422,-0.241274,-0.400221,0.884087,73.99472801247397,79.68202878906196,83.64356317601492,95.22362879705857,a
1,-0.412602,0.0371346,-0.910154,0.275574,0.289124,0.91677,0.133531,0.263812,0.955287,-0.0200812,0.234551,0.971896,-0.0970472,-0.421849,0.901457,73.75445468668384,79.3687528067696,83.39284376455812,95.09459383398196,a
1,-0.308205,0.0206671,-0.951096,0.0467014,0.352576,0.934617,-0.094006,0.32841,0.939846,-0.25106,0.293956,0.922257,-0.305073,-0.370127,0.877461,74.078924190634,79.6978174184212,83.76896767174823,95.40246919711302,a
1,-0.562526,0.0588438,-0.824683,0.447938,0.260316,0.855329,0.300114,0.220782,0.928002,0.153622,0.194151,0.968868,0.063034,-0.445797,0.892912,73.84154237564991,79.75439165955754,83.6732506831329,95.08856513151305,a
